State,Party,Candidate,min,25th,median,75th,max,mean,avg_size
Missouri,Democrat,Clinton,44,45,46,46.5,47,45.66666667,551.3333333
Montana,Democrat,Clinton,0,0,0,0,0,0,0
Montana,Democrat,Sanders,0,0,0,0,0,0,0
Montana,Republican,Rubio,0,0,0,0,0,0,0
Montana,Republican,Cruz,0,0,0,0,0,0,0
Montana,Republican,Trump,0,0,0,0,0,0,0
Nebraska,Republican,Trump,0,0,0,0,0,0,0
Nebraska,Republican,Cruz,0,0,0,0,0,0,0
Nebraska,Republican,Rubio,0,0,0,0,0,0,0
Nebraska,Democrat,Sanders,0,0,0,0,0,0,0
Nebraska,Democrat,Clinton,0,0,0,0,0,0,0
Nevada,Democrat,Clinton,45,46.5,47.5,49.25,53,48.25,584.75
Nevada,Democrat,Sanders,45,46.5,47,47.5,49,47,584.75
Nevada,Republican,Rubio,19,19,19,19,19,19,466
Nevada,Republican,Cruz,0,0,0,0,0,0,0
Nevada,Republican,Trump,39,40.5,42,43.5,45,42,466
New Hampshire,Republican,Trump,28,29,31,33.25,36,31.39,490.75
New Hampshire,Republican,Rubio,0,0,0,0,0,0,0
New Hampshire,Democrat,Clinton,31,38,40.3,42,44,39.47777778,457.9444444
New Hampshire,Democrat,Sanders,49.6,53.25,55,58,61,55.31111111,457.9444444
New Hampshire,Republican,Cruz,0,0,0,0,0,0,0
New Jersey,Republican,Cruz,0,0,0,0,0,0,0
New Jersey,Republican,Rubio,0,0,0,0,0,0,0
New Jersey,Democrat,Sanders,0,0,0,0,0,0,0
New Jersey,Republican,Trump,0,0,0,0,0,0,0
New Jersey,Democrat,Clinton,0,0,0,0,0,0,0
New Mexico,Democrat,Clinton,0,0,0,0,0,0,0
New Mexico,Democrat,Sanders,0,0,0,0,0,0,0
New Mexico,Republican,Rubio,0,0,0,0,0,0,0
New Mexico,Republican,Cruz,0,0,0,0,0,0,0
New Mexico,Republican,Trump,0,0,0,0,0,0,0
New York,Democrat,Clinton,50,52.25,53,54.5,57,53.21428571,658.7857143
New York,Republican,Trump,50,52,54,55.25,60,53.9375,1682.875
New York,Republican,Cruz,0,0,0,0,0,0,0
New York,Republican,Rubio,0,0,0,0,0,0,0
New York,Democrat,Sanders,37,39.25,40,42.75,47,41,658.7857143
North Carolina,Democrat,Sanders,28,32.5,34,34.75,37,33.25,650.75
North Carolina,Republican,Rubio,0,0,0,0,0,0,0
North Carolina,Democrat,Clinton,56,56.75,57,57.25,58,57,650.75
North Carolina,Republican,Trump,32,38.75,42.5,45,48,41.25,667.75
North Carolina,Republican,Cruz,26,26.75,27.5,29.25,33,28.5,667.75
North Dakota,Republican,Trump,0,0,0,0,0,0,0
North Dakota,Democrat,Clinton,0,0,0,0,0,0,0
North Dakota,Democrat,Sanders,0,0,0,0,0,0,0
North Dakota,Republican,Rubio,0,0,0,0,0,0,0
North Dakota,Republican,Cruz,0,0,0,0,0,0,0
Ohio,Republican,Trump,29,33,38,38,41,35.88888889,608.2222222
Ohio,Republican,Cruz,0,0,0,0,0,0,0
Ohio,Democrat,Sanders,33,38,41,43,46,40.44444444,475.3333333
Ohio,Democrat,Clinton,46,52,52,56,63,53.77777778,475.3333333
Ohio,Republican,Rubio,0,0,0,0,0,0,0
Oklahoma,Republican,Cruz,18,18.75,19.5,20.75,23,20,494.75
Oklahoma,Democrat,Clinton,40,41.5,43,44.5,46,43,450.6666667
Oklahoma,Democrat,Sanders,31,37.5,44,46,48,41,450.6666667
Oklahoma,Republican,Rubio,0,0,0,0,0,0,0
Oklahoma,Republican,Trump,29,32.75,34,34.25,35,33,494.75
Oregon,Republican,Cruz,0,0,0,0,0,0,0
Oregon,Republican,Rubio,0,0,0,0,0,0,0
Oregon,Republican,Trump,0,0,0,0,0,0,0
Oregon,Democrat,Clinton,48,48,48,48,48,48,304
Oregon,Democrat,Sanders,33,33,33,33,33,33,304
Pennsylvania,Democrat,Clinton,49,51.75,56.5,61.065,63.26,56.095,641.5833333
Pennsylvania,Democrat,Sanders,31,32.9375,38,40.125,43,37.0825,641.5833333
Pennsylvania,Republican,Rubio,0,0,0,0,0,0,0
Pennsylvania,Republican,Cruz,20,23.5,26,26.75,28.2,25.22,650.5
